word,frequency
maximum,23
telescopic,23
ed,23
shows,23
proportion,23
comes,23
figures,23
subject,23
gradually,23
speaking,23
africa,23
particular,23
24,23
portugal,23
35,23
f,23
knowledge,23
phases,23
countries,23
head,23
trillion,23
regard,23
difficulty,23
september,23
temperature,23
measures,23
seasons,23
measured,23
weather,23
effects,22
records,22
owing,22
city,22
future,22
turned,22
former,22
instrument,22
dimensions,22
scientific,22
degrees,22
society,22
mid,22
farther,22
accordingly,22
reality,22
nine,22
birds,22
happen,22
american,22
employed,22
slowly,22
necessary,22
starry,22
doubtless,22
portion,22
force,22
coast,22
interest,22
johnson,22
island,22
lisbon,22
occasion,22
42,22
shining,22
description,22
preceding,22
white,22
became,22
noted,22
europe,22
rapid,22
fairly,21
steps,21
beings,21
alicante,21
divided,21
bright,21
pop,21
heads,21
readers,21
bring,21
ball,21
ecliptic,21
drawn,21
easy,21
zone,21
presented,21
fixed,21
namely,21
special,21
powerful,21
strange,21
height,21
french,21
show,21
imagination,21
table,21
house,21
mention,21
actual,21
direct,21
approach,21
hue,21
nights,21
instead,21
footnotes,21
firmament,21
o,20
remarks,20
condition,20
determined,20
straight,20
influence,20
numerous,20
viewed,20
separates,20
saxon,20
et,20
notice,20
twelve,20
used,20
lost,20
reader,20
mag,20
conjunction,20
jerusalem,20
dec,20
minimum,20
36,20
kepler,20
humanity,20
disappeared,20
node,20
observing,20
70,20
calculation,20
english,20
thales,19
absolute,19
celebrated,19
accomplished,19
formed,19
measurement,19
jan,19
respecting,19
facts,19
interval,19
change,19
usually,19
marked,19
occur,19
mysterious,19
actually,19
lib,19
look,19
chronicle_,19
towards,19
seeing,19
obscuration,19
41,19
immediately,19
aug,19
magnitudes,19
suppose,19
advance,19
thing,19
sphere,19
contrary,19
le,19
february,19
nebula,19
baily,19
god,19
information,19
theory,19
todd,19
predicted,19
follow,19
began,19
tables,19
sort,19
sufficient,19
altitude,18
going,18
gone,18
entire,18
persons,18
writer,18
makes,18
colour,18
era,18
law,18
speak,18
cap,18
greatly,18
_anglo,18
polar,18
event,18
visibility,18
close,18
likely,18
regular,18
suggested,18
died,18
assume,18
making,18
beta,18
precise,18
movements,18
dial,18
done,18
relation,18
throughout,18
39,18
37,18
intensity,18
exceedingly,18
49,18
eternal,18
groups,18
fourth,18
occultation,18
written,18
railway,18
66,18
1901,18
v,18
feb,18
1889,18
beauty,17
enormous,17
previous,17
america,17
considered,17
sign,17
natural,17
causes,17
anything,17
elements,17
les,17
hope,17
problem,17
lasted,17
established,17
reign,17
cited,17
calculated,17
applied,17
aid,17
terror,17
impossible,17
cannot,17
fell,17
systems,17
antiquity,17
exactly,17
centaur,17
highest,17
universal,17
photographic,17
earth's,17
dates,17
deep,17
remote,17
93000000,17
extraordinary,17
common,17
annual,17
matters,17
38,17
composed,17
train,17
apparently,17
periods,17
midnight,17
quantity,17
naked,17
andromeda,17
respect,17
amongst,17
brief,17
kind,17
80,17
cross,17
constantly,16
note,16
circumference,16
october,16
really,16
etc,16
agathocles,16
details,16
plutarch,16
explanation,16
royal,16
sunset,16
struck,16
comparison,16
nodes,16
showing,16
wings,16
similar,16
1898,16
importance,16
previously,16
108,16
army,16
rome,16
character,16
living,16
easily,16
simply,16
32,16
named,16
