word,frequency
supposed,12
names,12
finest,12
ancient,12
complete,12
intensity,12
path,12
orion,12
relatively,12
zodiac,12
constitution,12
attracted,12
triangle,12
kilograms,12
perpetual,12
yellow,11
things,11
follows,11
accomplished,11
love,11
vega,11
saw,11
noon,11
sense,11
sirius,11
etc,11
oxygen,11
calculated,11
elongated,11
live,11
fifth,11
moreover,11
sixty,11
comparison,11
600,11
learned,11
reason,11
antiquity,11
described,11
close,11
impression,11
north,11
disappear,11
yes,11
group,11
living,11
17,11
18,11
200,11
show,11
movements,11
important,11
represent,11
186,11
giant,11
dust,11
annual,11
simply,11
objects,11
lines,11
passing,11
gaze,11
periods,11
children,11
countries,11
approach,11
hue,11
quantity,11
multiplied,11
20,11
determine,11
seasons,11
thousands,11
superb,11
june,11
plunged,10
absolute,10
traverse,10
carbon,10
pleiades,10
bottom,10
accomplishes,10
twilight,10
circumference,10
aspects,10
arcturus,10
set,10
belt,10
les,10
makes,10
doubt,10
high,10
witness,10
gentle,10
viewed,10
hope,10
means,10
green,10
ancients,10
circles,10
true,10
together,10
discover,10
illumination,10
directly,10
size,10
fifty,10
comes,10
variable,10
your,10
analogous,10
lyre,10
vault,10
creation,10
shine,10
similar,10
attention,10
reflection,10
recognized,10
108,10
turning,10
regular,10
thoughts,10
generally,10
14,10
19,10
measuring,10
deep,10
distinct,10
common,10
exhibits,10
400,10
50,10
remarkable,10
diurnal,10
midnight,10
able,10
extraordinary,10
1900,10
1901,10
turns,10
incandescent,10
whom,10
sort,10
women,10
instead,10
g,10
perseus,10
owe,10
_e,9
effects,9
rotary,9
country,9
insignificant,9
sign,9
geography,9
galileo,9
seventh,9
meteors,9
future,9
vision,9
moons,9
observe,9
perpetually,9
skies,9
neighbor,9
image,9
admire,9
sides,9
came,9
eleven,9
varies,9
bring,9
familiar,9
recognize,9
illusion,9
forces,9
spread,9
maximum,9
zone,9
terror,9
produce,9
january,9
sunset,9
touch,9
duration,9
darkness,9
colored,9
northern,9
vaster,9
silence,9
although,9
diminishes,9
perfectly,9
neither,9
senses,9
highest,9
portion,9
inhabited,9
fields,9
384,9
interesting,9
diamonds,9
across,9
mare,9
heavier,9
field,9
province,9
martian,9
meter,9
fourteen,9
bull,9
luminary,9
variations,9
direct,9
represented,9
perspective,9
presence,9
eternity,9
groups,9
marvels,9
reduced,9
abyss,9
nucleus,9
prolonged,9
directions,9
goal,9
kind,9
flight,9
analysis,9
shed,9
ellipse,9
delta,9
december,9
covered,9
fear,9
succession,8
therefore,8
travel,8
modest,8
vary,8
series,8
rotates,8
breadth,8
crescent,8
owing,8
habitation,8
average,8
former,8
62,8
fishes,8
gravitates,8
axis,8
resemble,8
methods,8
anything,8
considerably,8
atom,8
race,8
transparent,8
sufficiently,8
accompanied,8
face,8
drawing,8
sister,8
easy,8
war,8
snows,8
evidence,8
physical,8
perceived,8
explosion,8
occur,8
fires,8
silent,8
observers,8
centuries,8
sixth,8
equivalent,8
evenings,8
fairy,8
abysses,8
ask,8
famous,8
lives,8
look,8
showing,8
everywhere,8
cloud,8
herself,8
41,8
necessary,8
phenomena,8
seek,8
dog,8
perceive,8
tiny,8
exception,8
dreams,8
azure,8
attached,8
floating,8
assume,8
souls,8
pageant,8
get,8
forget,8
des,8
22,8
particularly,8
scattered,8
throughout,8
absolutely,8
giving,8
37,8
34,8
february,8
epochs,8
exists,8
proximity,8
ram,8
isolated,8
colors,8
twice,8
majestic,8
55,8
everything,8
virgin,8
removed,8
setting,8
picture,8
hydrogen,8
written,8
imposing,8
color,8
separate,8
observing,8
rather,8
equatorial,8
calculation,8
orange,8
profound,8
ray,8
nearer,8
hypothesis,8
grandeur,8
book,8
immensities,7
spectrum,7
fair,7
extent,7
eighteen,7
fairly,7
old,7
slightly,7
extremity,7
procyon,7
transported,7
celebrated,7
virtue,7
admired,7
natural,7
note,7
definite,7
combined,7
continents,7
really,7
ethereal,7
altaïr,7
hercules,7
results,7
young,7
midday,7
animals,7
produces,7
aureole,7
effected,7
indicated,7
latter,7
receives,7
voluminous,7
cone,7
born,7
formidable,7
certainly,7
vicinity,7
sublime,7
struck,7
poor,7
perihelion,7
dream,7
held,7
base,7
probability,7
whatever,7
grand,7
quarters,7
lasts,7
ancestors,7
required,7
milliards,7
becomes,7
charming,7
crossing,7
revealed,7
gray,7
state,7
importance,7
capella,7
immediately,7
ever,7
somber,7
curiosity,7
reader,7
arrived,7
somewhat,7
sees,7
mind,7
traversed,7
zones,7
appeared,7
die,7
merely,7
visit,7
fly,7
ours,7
occupied,7
especially,7
precise,7
relative,7
calendar,7
acquainted,7
island,7
preserved,7
table,7
dragon,7
easily,7
house,7
projected,7
extremely,7
eruptions,7
lion,7
zeta,7
eclipsed,7
single,7
train,7
waters,7
reached,7
324,7
stellar,7
actual,7
42,7
rise,7
hundreds,7
adjacent,7
quickly,7
burns,7
primitive,7
spectral,7
parallax,7
region,7
illuminates,7
knows,7
september,7
consequence,7
passed,7
stones,7
activity,7
c,7
rotate,7
abode,7
emerald,7
difficult,7
happiness,7
sequence,7
whether,7
looking,6
atoms,6
90,6
midst,6
pursue,6
displacement,6
subjoined,6
birth,6
republic,6
ignorant,6
238,6
representing,6
slow,6
alarming,6
apparition,6
substance,6
power,6
destinies,6
reasoning,6
causes,6
accompanying,6
incessantly,6
signs,6
pegasus,6
courses,6
england,6
beams,6
closely,6
knowing,6
thou,6
continue,6
inclination,6
aerial,6
partial,6
seemed,6
receive,6
equals,6
animal,6
counted,6
degrees,6
society,6
destiny,6
spain,6
uranoliths,6
daylight,6
obtained,6
reign,6
created,6
disappears,6
tons,6
speak,6
transformed,6
suffice,6
sovereign,6
astonished,6
prove,6
purity,6
accomplish,6
ring,6
friend,6
moon's,6
thinking,6
exposed,6
fell,6
greatly,6
actually,6
foot,6
travels,6
perceptible,6
prolongation,6
seventeen,6
both,6
juvisy,6
animated,6
universes,6
limpid,6
draw,6
experiment,6
visibility,6
drops,6
elliptical,6
circular,6
one's,6
insensible,6
bears,6
outline,6
photograph,6
intrinsic,6
evolution,6
limits,6
spherical,6
madame,6
previously,6
calculate,6
army,6
call,6
calm,6
type,6
eternally,6
revolving,6
enabled,6
388,6
ether,6
save,6
dense,6
covers,6
marks,6
soul,6
making,6
pure,6
map,6
140,6
nous,6
suspended,6
plains,6
occupies,6
ruddy,6
cluster,6
sudden,6
extensive,6
480,6
starting,6
returning,6
900,6
particular,6
24,6
26,6
rigel,6
hard,6
beginning,6
b,6
mountain,6
charm,6
smallest,6
prepared,6
desert,6
35,6
kepler,6
value,6
add,6
hail,6
47,6
43,6
changes,6
vapor,6
cassiopeia,6
rain,6
took,6
despite,6
thanks,6
incomparably,6
hearts,6
gave,6
56,6
disappeared,6
surround,6
centrifugal,6
reply,6
autumn,6
eighth,6
term,6
origin,6
ideal,6
multiple,6
naked,6
66,6
69,6
revolutions,6
madrid,6
respect,6
terrified,6
lastly,6
regard,6
invention,6
sum,6
multitude,6
solitude,6
swarm,6
calculations,6
added,6
75,6
intelligence,6
various,6
became,6
attractive,6
precision,6
gravitating,6
peace,6
problems,6
noted,6
traveling,6
proof,6
80,6
latitudes,6
july,6
isolation,6
weighing,6
april,6
sufficient,6
english,6
rare,6
glass,5
92,5
triple,5
shores,5
silver,5
shower,5
radius,5
fain,5
rings,5
men,5
extend,5
lalande,5
o,5
crowns,5
prevent,5
wandering,5
laws,5
bright,5
kilometer,5
vertical,5
situation,5
dimension,5
scientific,5
stone,5
particles,5
condition,5
imperceptible,5
periodic,5
rises,5
ninth,5
310,5
spirits,5
renewed,5
volcanic,5
vanish,5
gases,5
garden,5
fifteen,5
gladly,5
roseate,5
traced,5
glasses,5
tenth,5
false,5
excessively,5
moments,5
herdsman,5
increases,5
problem,5
compared,5
variety,5
details,5
daughter,5
glance,5
radiance,5
indicates,5
millimeter,5
harmony,5
ecliptic,5
iron,5
du,5
unable,5
confirmed,5
photographed,5
presented,5
whiteness,5
usually,5
spreads,5
nitrogen,5
cold,5
drop,5
en,5
striking,5
forever,5
ground,5
burst,5
materials,5
read,5
describe,5
flattening,5
amount,5
put,5
derived,5
earliest,5
1877,5
diametrically,5
craters,5
alongside,5
belong,5
run,5
step,5
seeing,5
antares,5
examining,5
crossed,5
meet,5
mentioned,5
700,5
constitute,5
geometry,5
need,5
120,5
precious,5
minds,5
admit,5
quadrilateral,5
addition,5
corresponding,5
limit,5
meteor,5
consists,5
swan,5
void,5
likely,5
reckoned,5
landscape,5
arms,5
680,5
weeks,5
brightness,5
higher,5
successively,5
cosmic,5
tells,5
betelgeuse,5
infinitely,5
burn,5
intellectual,5
sapphire,5
abundant,5
finally,5
french,5
frequent,5
fiery,5
gigantic,5
drawings,5
summary,5
radiates,5
geometric,5
dates,5
divined,5
creatures,5
transit,5
compare,5
minimum,5
maps,5
detected,5
mystery,5
ages,5
ardent,5
showers,5
chart,5
shape,5
lesson,5
atlas,5
named,5
totality,5
works,5
obvious,5
proportions,5
la,5
labor,5
que,5
knowledge,5
scorpion,5
inferior,5
reproduced,5
taking,5
weighed,5
certainty,5
48,5
limited,5
patches,5
verrier,5
top,5
heights,5
chariot,5
watch,5
360,5
weak,5
dazzled,5
peaks,5
rapidity,5
medium,5
admiration,5
faithful,5
realize,5
varying,5
contemplating,5
passage,5
gravitate,5
goes,5
meridian,5
opera,5
eagle,5
returns,5
season,5
population,5
multiply,5
predicted,5
arrival,5
67,5
68,5
delicate,5
communication,5
mortals,5
homage,5
sparkling,5
woman,5
occurs,5
rate,5
weighs,5
70,5
equinox,5
arc,5
recently,5
currents,5
peoples,5
lower,5
fragments,5
conceivable,5
winds,5
copernicus,5
use,5
stream,5
sun's,5
inaccessible,5
1882,5
equally,5
suffices,5
organic,5
vegetation,5
alarmed,5
inhabit,5
cube,5
view,5
shedding,5
violet,5
geographical,5
obtain,5
glacial,5
poets,5
carried,5
conclusion,5
275,4
brings,4
wine,4
easier,4
_the,4
nineteenth,4
altogether,4
patch,4
preserve,4
asked,4
eastern,4
beloved,4
possibly,4
crown,4
statements,4
width,4
circulate,4
forming,4
inside,4
roll,4
falling,4
cherished,4
opposed,4
date,4
st,4
solitary,4
constitutes,4
astral,4
seventy,4
city,4
sad,4
urania,4
going,4
splendors,4
reigns,4
extinct,4
regularity,4
volcanoes,4
vague,4
stationary,4
swarms,4
age,4
gone,4
am,4
kilogram,4
caused,4
returned,4
millimeters,4
action,4
obliquely,4
paper,4
exhibited,4
algol,4
play,4
plan,4
cover,4
gold,4
obscure,4
potent,4
leave,4
error,4
shorter,4
measurements,4
ptolemy,4
occupy,4
continues,4
twins,4
process,4
perfect,4
ship,4
scene,4
interests,4
penumbra,4
luminosity,4
ends,4
reappears,4
mizar,4
conflagration,4
ce,4
fecundity,4
immortal,4
rule,4
simultaneously,4
work,4
cited,4
indifferent,4
appreciate,4
greek,4
approximately,4
enchanted,4
manifested,4
rudimentary,4
ill,4
aim,4
aid,4
grandiose,4
newton,4
sends,4
float,4
bound,4
prayer,4
brothers,4
battle,4
devoted,4
regret,4
marked,4
envelope,4
heard,4
photography,4
remember,4
corona,4
domain,4
care,4
blind,4
sheet,4
flowers,4
remained,4
mrs,4
husband,4
herschel,4
notice,4
ruby,4
proves,4
theater,4
aphelion,4
1858,4
felt,4
low,4
oxen,4
mathematics,4
flattened,4
louis,4
strong,4
inspired,4
contains,4
subtends,4
climates,4
inconceivable,4
absence,4
referred,4
heavy,4
favored,4
houses,4
terrible,4
reflected,4
1874,4
translation,4
pretty,4
trees,4
kilos,4
gravitation,4
probably,4
alone,4
translucent,4
sketch,4
describing,4
himself,4
governs,4
properly,4
1899,4
calculating,4
depth,4
positions,4
notwithstanding,4
opaque,4
melancholy,4
canals,4
reflects,4
started,4
crosses,4
archer,4
arrangement,4
sword,4
surrounds,4
separating,4
diminished,4
keep,4
exhibit,4
lightly,4
pursued,4
based,4
128,4
quit,4
secrets,4
mythology,4
eccentric,4
appearances,4
frequently,4
extends,4
lose,4
home,4
reaching,4
noticed,4
lived,4
commencement,4
active,4
warm,4
arrested,4
went,4
taught,4
telescopes,4
peculiar,4
modern,4
photographic,4
subject,4
ignorance,4
weary,4
against,4
balance,4
ii,4
bearded,4
differing,4
rome,4
highly,4
shoulder,4
206,4
doctrine,4
illustrious,4
prodigies,4
died,4
daily,4
bow,4
spheres,4
aldebaran,4
merope,4
advance,4
thing,4
dwelling,4
protected,4
secondary,4
seat,4
cancer,4
sound,4
prominences,4
author's,4
notably,4
stations,4
spreading,4
spica,4
arranged,4
resembles,4
inexhaustible,4
inconsiderable,4
published,4
pleione,4
none,4
recall,4
remain,4
superstitions,4
sharp,4
needs,4
fish,4
members,4
believe,4
distributed,4
tempests,4
express,4
tender,4
floats,4
snow,4
source,4
valleys,4
mirror,4
acquaintance,4
proportional,4
constant,4
appalling,4
presenting,4
fatal,4
shock,4
extreme,4
39,4
31,4
36,4
honor,4
varied,4
profile,4
946,4
messenger,4
announced,4
visited,4
inexorable,4
attributed,4
otherwise,4
arises,4
multi,4
atmospheric,4
sets,4
ought,4
glory,4
penetrating,4
49,4
45,4
phoebus,4
organisms,4
selected,4
breathe,4
precisely,4
free,4
serve,4
flame,4
10th,4
pope,4
discovers,4
distinguished,4
belongs,4
glides,4
mother,4
possesses,4
53,4
52,4
existed,4
epsilon,4
hear,4
remarked,4
brother,4
flying,4
apex,4
torch,4
extinguished,4
alas,4
sciences,4
spaces,4
occultation,4
floods,4
reveals,4
bosom,4
65,4
cast,4
agitated,4
devoid,4
photographs,4
whence,4
750,4
summits,4
diversity,4
regulus,4
brief,4
miniature,4
minor,4
simplicity,4
reflect,4
glide,4
differ,4
fallen,4
electric,4
journeys,4
roman,4
flies,4
1861,4
identical,4
cometary,4
peopled,4
arrives,4
illusions,4
question,4
notes,4
lightest,4
man's,4
leaving,4
1885,4
choose,4
material,4
cygnus,4
frontier,4
lilliputian,4
closed,4
grain,4
provinces,4
happened,4
largest,4
pendulum,4
saturnian,4
empire,4
leap,4
raise,4
travelers,4
scintillating,4
kinds,4
stars_,3
woods,3
hanging,3
27',3
china,3
divide,3
brought,3
until,3
